architecture,hidden_size,num_layers,dropout_rate,learning_rate,batch_size,epochs,train_acc,val_acc,test_acc,test_acc_std,time
Vanilla LSTM,64,2,0.01,0.01,32,50,0.504296875,0.5,0.50075,0.0018708286933869,11.414019346237184
Vanilla LSTM,64,2,0.01,0.01,32,100,0.500390625,0.5,0.5,0.0,3.5470144748687744
Vanilla LSTM,64,2,0.01,0.01,32,150,0.483984375,0.5,0.5,0.0,4.181561708450317
Vanilla LSTM,64,2,0.01,0.01,64,50,0.49375,0.5,0.506,0.0103802697460133,2.0845327377319336
Vanilla LSTM,64,2,0.01,0.01,64,100,0.521484375,0.5359375,0.539,0.0982229606558466,2.424309492111206
Vanilla LSTM,64,2,0.01,0.01,64,150,0.49296875,0.5,0.513375,0.0209541911082246,1.915676832199097
Vanilla LSTM,64,2,0.01,0.01,128,50,0.4953125,0.5,0.5265000000000001,0.0367202260341626,1.2972044944763184
Vanilla LSTM,64,2,0.01,0.01,128,100,0.50390625,0.4671875,0.5035000000000001,0.0073484692283495,1.1027631759643557
Vanilla LSTM,64,2,0.01,0.01,128,150,0.519921875,0.5375,0.5422499999999999,0.0821541995274739,1.492290735244751
Vanilla LSTM,64,2,0.01,0.001,32,50,0.565625,0.5640625,0.640875,0.1109491015060509,5.816357851028442
Vanilla LSTM,64,2,0.01,0.001,32,100,0.521484375,0.534375,0.64075,0.1451273147963539,7.757463455200195
Vanilla LSTM,64,2,0.01,0.001,32,150,0.54765625,0.5625,0.616,0.1026352765865615,16.466630458831787
Vanilla LSTM,64,2,0.01,0.001,64,50,0.734375,0.7296875,0.6100000000000001,0.1044314966856264,8.645747184753418
Vanilla LSTM,64,2,0.01,0.001,64,100,0.80078125,0.8109375,0.724,0.096746769971922,10.012987852096558
Vanilla LSTM,64,2,0.01,0.001,64,150,0.6828125,0.6703125,0.65225,0.0721669072359346,6.75639533996582
Vanilla LSTM,64,2,0.01,0.001,128,50,0.703515625,0.73125,0.727,0.0820064784026237,4.975048542022705
Vanilla LSTM,64,2,0.01,0.001,128,100,0.757421875,0.746875,0.6990000000000001,0.1005450769555625,5.272064447402954
Vanilla LSTM,64,2,0.01,0.001,128,150,0.662890625,0.690625,0.6911250000000001,0.0766392727327184,5.668465852737427
Vanilla LSTM,64,2,0.01,0.0001,32,50,0.55078125,0.559375,0.5700000000000001,0.0249624718327332,10.366329669952393
Vanilla LSTM,64,2,0.01,0.0001,32,100,0.6109375,0.646875,0.5565,0.0467132208266567,11.637390375137327
Vanilla LSTM,64,2,0.01,0.0001,32,150,0.55,0.5625,0.544625,0.0370432601831966,8.420382976531982
Vanilla LSTM,64,2,0.01,0.0001,64,50,0.576171875,0.5859375,0.5236249999999999,0.0164359552506083,8.501964807510376
Vanilla LSTM,64,2,0.01,0.0001,64,100,0.535546875,0.5375,0.524,0.013,6.781631708145142
Vanilla LSTM,64,2,0.01,0.0001,64,150,0.532421875,0.5390625,0.527375,0.0257053617947696,4.693450212478638
Vanilla LSTM,64,2,0.01,0.0001,128,50,0.530078125,0.525,0.506375,0.0088644303257457,2.1050283908843994
Vanilla LSTM,64,2,0.01,0.0001,128,100,0.5015625,0.4984375,0.502,0.0051295711321708,1.1097288131713867
Vanilla LSTM,64,2,0.01,0.0001,128,150,0.51953125,0.521875,0.5031249999999999,0.0059752092013585,2.2055342197418213
Vanilla LSTM,64,2,0.01,0.0005,32,50,0.72109375,0.70625,0.6903750000000002,0.0943100770066486,16.197370767593384
Vanilla LSTM,64,2,0.01,0.0005,32,100,0.770703125,0.7890625,0.692,0.1315795861826598,17.189228057861328
Vanilla LSTM,64,2,0.01,0.0005,32,150,0.525,0.5265625,0.669875,0.07324712025056,8.774584531784058
Vanilla LSTM,64,2,0.01,0.0005,64,50,0.687109375,0.675,0.63625,0.0467372977395998,8.693878173828125
Vanilla LSTM,64,2,0.01,0.0005,64,100,0.648828125,0.65625,0.622625,0.0834012327546781,5.754339456558228
Vanilla LSTM,64,2,0.01,0.0005,64,150,0.712109375,0.703125,0.68425,0.0788792589975336,10.438257455825806
Vanilla LSTM,64,2,0.01,0.0005,128,50,0.71484375,0.7140625,0.634125,0.0729919730175859,4.613183975219727
Vanilla LSTM,64,2,0.01,0.0005,128,100,0.617578125,0.6296875,0.5667500000000001,0.0293694143625643,2.814265727996826
Vanilla LSTM,64,2,0.01,0.0005,128,150,0.565234375,0.5609375,0.587625,0.0473268224688706,2.109238147735596
Vanilla LSTM,64,2,0.05,0.01,32,50,0.490234375,0.5,0.500375,0.0015860721925561,4.896307945251465
Vanilla LSTM,64,2,0.05,0.01,32,100,0.489453125,0.5,0.501875,0.005625,3.5948305130004883
Vanilla LSTM,64,2,0.05,0.01,32,150,0.511328125,0.5125,0.5000000000000001,0.0070044628630609,5.196336030960083
Vanilla LSTM,64,2,0.05,0.01,64,50,0.49765625,0.5078125,0.5037499999999999,0.010062305898749,2.10642671585083
Vanilla LSTM,64,2,0.05,0.01,64,100,0.500390625,0.5,0.512875,0.0341048475293469,1.930655717849732
Vanilla LSTM,64,2,0.05,0.01,64,150,0.518359375,0.5375,0.524625,0.0388548983398489,2.977832317352295
Vanilla LSTM,64,2,0.05,0.01,128,50,0.497265625,0.5,0.545125,0.0867853854344151,1.1189913749694824
Vanilla LSTM,64,2,0.05,0.01,128,100,0.5203125,0.534375,0.513625,0.0123547814630611,1.3141050338745115
Vanilla LSTM,64,2,0.05,0.01,128,150,0.51953125,0.5375,0.5325,0.0877158053032633,2.0127041339874268
Vanilla LSTM,64,2,0.05,0.001,32,50,0.48203125,0.5,0.6449999999999999,0.0974935895328508,8.118483304977417
Vanilla LSTM,64,2,0.05,0.001,32,100,0.75390625,0.753125,0.6391249999999999,0.108234482144093,17.19281268119812
Vanilla LSTM,64,2,0.05,0.001,32,150,0.520703125,0.534375,0.6147500000000001,0.1146595504090261,6.496571779251099
Vanilla LSTM,64,2,0.05,0.001,64,50,0.715234375,0.7015625,0.635,0.0783681217077454,7.667714834213257
Vanilla LSTM,64,2,0.05,0.001,64,100,0.77578125,0.81875,0.6441250000000001,0.1158528835420163,16.735068321228027
