Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968901515151515, 'Stressed Variance': 119.93869197514924, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.91187969924812, 'Normal Variance': 1132.0363701509414, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6375,1.0,0.6375,0.925,0.45,0.975,1.0,1.0,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934193463, 'rho': 220.11767829320144, 'd': 0.729867722170888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999847174, 'rho': 1179.133813804233, 'd': 0.7827636158617362, 'label': 1}]","({'Stressed Mean': 9.968181818181819, 'Stressed Variance': 118.46163911845731, 'Stressed Steady State Time': 13.701112812957968}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.77524887125867})",0.1,1.0,0.6875,1.0,0.625,0.925,0.45,0.95,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.953068181818182, 'Stressed Variance': 131.46147164686636, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.6375,0.9875,0.575,0.8375,0.45,0.9625,1.0,0.9875,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,1.0,1.0,0.9875
