Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D 4-Head Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 9.652045454545455, 'Stressed Variance': 3416.0822609676306, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.40327067669173, 'Normal Variance': 1147.391094565832, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.6375,0.7375,0.6125,0.7125,0.45,0.8375,0.775
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.021046155088260233, 'rho': 6290.50335971804, 'd': 0.7346460807771147, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984859, 'rho': 1179.1338138049475, 'd': 0.7827636158617434, 'label': 1}]","({'Stressed Mean': 10.146969696969697, 'Stressed Variance': 3301.502187786961, 'Stressed Steady State Time': 13.611996662967176}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258553})",2.8,0.7125,0.5625,0.725,0.625,0.6125,0.45,0.9375,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.020460616750549967, 'rho': 6470.3580153730945, 'd': 0.7346511191190542, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849313, 'rho': 1179.1338138053677, 'd': 0.7827636158617437, 'label': 1}]","({'Stressed Mean': 9.444431818181819, 'Stressed Variance': 2904.1219879347454, 'Stressed Steady State Time': 13.611903309956634}, {'Normal Mean': 9.681917293233083, 'Normal Variance': 1113.8723196322574, 'Normal Steady State Time': 12.775248871258547})",2.88,0.6625,0.5125,0.7875,0.475,0.5625,0.45,0.875,0.7875
