Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy,IY006B Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.47259541984733, 'Stressed Variance': 55.143065782879795, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.39268939393939, 'Normal Variance': 223.1208329186754, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.575,0.9875,0.5625,0.7375,0.45,0.5,1.0,0.575,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 46.70683307781963, 'rho': 44.76449823895574, 'd': 0.694881971900683, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188966006605, 'rho': 91.09946619150107, 'd': 0.7347427425680894, 'label': 1}]","({'Stressed Mean': 46.499122137404584, 'Stressed Variance': 56.483205336227485, 'Stressed Steady State Time': 14.390933143145732}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886549862})",0.5,0.32,0.16,1.0,0.5125,1.0,0.55,0.8125,0.45,0.95,1.0,0.4375,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 40.932247108906076, 'rho': 46.55888774961593, 'd': 0.6954441048651716, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.483053435114506, 'Stressed Variance': 57.330323500961484, 'Stressed Steady State Time': 14.379300838187044}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.51,0.32,0.1632,1.0,0.55,1.0,0.5875,0.7875,0.45,0.5125,1.0,0.5,0.9625,0.975
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 36.624465441472246, 'rho': 48.27184660322053, 'd': 0.6960253453597371, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.507748091603055, 'Stressed Variance': 61.0174972189849, 'Stressed Steady State Time': 14.367292896254447}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.52,0.32,0.1664,1.0,0.5625,1.0,0.575,0.7875,0.45,0.5,1.0,0.475,0.975,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
