Class_A,Class_B,Dataset,Classifier,Accuracy,N_train,N_test
Cbf1,Cin5,Steady-state,Raw SVM,0.5636363636363636,440,110
Cbf1,Cin5,Steady-state,LSTM,0.5454545454545454,440,110
Cbf1,Cin5,Steady-state,Transformer,0.5909090909090909,440,110
Cbf1,Cin5,Full,Raw SVM,0.5727272727272728,440,110
Cbf1,Cin5,Full,LSTM,0.6,440,110
Cbf1,Cin5,Full,Transformer,0.5272727272727272,440,110
Cbf1,Cup9,Steady-state,Raw SVM,0.7,400,100
Cbf1,Cup9,Steady-state,LSTM,0.72,400,100
Cbf1,Cup9,Steady-state,Transformer,0.82,400,100
Cbf1,Cup9,Full,Raw SVM,0.69,400,100
Cbf1,Cup9,Full,LSTM,0.66,400,100
Cbf1,Cup9,Full,Transformer,0.74,400,100
Cbf1,Msn2,Steady-state,Raw SVM,0.7602739726027398,584,146
Cbf1,Msn2,Steady-state,LSTM,0.7876712328767124,584,146
Cbf1,Msn2,Steady-state,Transformer,0.7123287671232876,584,146
Cbf1,Msn2,Full,Raw SVM,0.726027397260274,584,146
Cbf1,Msn2,Full,LSTM,0.773972602739726,584,146
Cbf1,Msn2,Full,Transformer,0.7945205479452054,584,146
Cbf1,Opi1,Steady-state,Raw SVM,0.6438356164383562,584,146
Cbf1,Opi1,Steady-state,LSTM,0.7191780821917808,584,146
Cbf1,Opi1,Steady-state,Transformer,0.726027397260274,584,146
Cbf1,Opi1,Full,Raw SVM,0.6643835616438356,584,146
Cbf1,Opi1,Full,LSTM,0.7054794520547946,584,146
Cbf1,Opi1,Full,Transformer,0.6712328767123288,584,146
Cbf1,Rox1,Steady-state,Raw SVM,0.6027397260273972,584,146
Cbf1,Rox1,Steady-state,LSTM,0.6164383561643836,584,146
Cbf1,Rox1,Steady-state,Transformer,0.5821917808219178,584,146
Cbf1,Rox1,Full,Raw SVM,0.589041095890411,584,146
Cbf1,Rox1,Full,LSTM,0.5958904109589042,584,146
Cbf1,Rox1,Full,Transformer,0.5753424657534246,584,146
Cbf1,Rsc3,Steady-state,Raw SVM,0.5955882352941176,540,136
Cbf1,Rsc3,Steady-state,LSTM,0.6764705882352942,540,136
Cbf1,Rsc3,Steady-state,Transformer,0.5808823529411765,540,136
Cbf1,Rsc3,Full,Raw SVM,0.5882352941176471,540,136
Cbf1,Rsc3,Full,LSTM,0.6470588235294118,540,136
Cbf1,Rsc3,Full,Transformer,0.5441176470588235,540,136
Cbf1,Sok2,Steady-state,Raw SVM,0.6724137931034483,462,116
Cbf1,Sok2,Steady-state,LSTM,0.7068965517241379,462,116
Cbf1,Sok2,Steady-state,Transformer,0.7586206896551724,462,116
Cbf1,Sok2,Full,Raw SVM,0.6637931034482759,462,116
Cbf1,Sok2,Full,LSTM,0.6637931034482759,462,116
Cbf1,Sok2,Full,Transformer,0.6810344827586207,462,116
Cbf1,Spt15,Steady-state,Raw SVM,0.6535433070866141,507,127
Cbf1,Spt15,Steady-state,LSTM,0.7322834645669292,507,127
Cbf1,Spt15,Steady-state,Transformer,0.6456692913385826,507,127
Cbf1,Spt15,Full,Raw SVM,0.6929133858267716,507,127
Cbf1,Spt15,Full,LSTM,0.6771653543307087,507,127
Cbf1,Spt15,Full,Transformer,0.6220472440944882,507,127
Cbf1,Stb5,Steady-state,Raw SVM,0.693069306930693,401,101
Cbf1,Stb5,Steady-state,LSTM,0.7623762376237624,401,101
Cbf1,Stb5,Steady-state,Transformer,0.7821782178217822,401,101
Cbf1,Stb5,Full,Raw SVM,0.6732673267326733,401,101
Cbf1,Stb5,Full,LSTM,0.7425742574257426,401,101
Cbf1,Stb5,Full,Transformer,0.8217821782178217,401,101
Cbf1,Tea1,Steady-state,Raw SVM,0.7401574803149606,505,127
Cbf1,Tea1,Steady-state,LSTM,0.7480314960629921,505,127
Cbf1,Tea1,Steady-state,Transformer,0.6220472440944882,505,127
Cbf1,Tea1,Full,Raw SVM,0.7244094488188977,505,127
Cbf1,Tea1,Full,LSTM,0.7086614173228346,505,127
Cbf1,Tea1,Full,Transformer,0.6220472440944882,505,127
Cbf1,Yox1,Steady-state,Raw SVM,0.7808219178082192,584,146
Cbf1,Yox1,Steady-state,LSTM,0.7602739726027398,584,146
Cbf1,Yox1,Steady-state,Transformer,0.7397260273972602,584,146
Cbf1,Yox1,Full,Raw SVM,0.7945205479452054,584,146
Cbf1,Yox1,Full,LSTM,0.773972602739726,584,146
Cbf1,Yox1,Full,Transformer,0.678082191780822,584,146
Cin5,Cup9,Steady-state,Raw SVM,0.74,400,100
Cin5,Cup9,Steady-state,LSTM,0.7,400,100
Cin5,Cup9,Steady-state,Transformer,0.74,400,100
Cin5,Cup9,Full,Raw SVM,0.74,400,100
Cin5,Cup9,Full,LSTM,0.74,400,100
Cin5,Cup9,Full,Transformer,0.79,400,100
Cin5,Msn2,Steady-state,Raw SVM,0.7363636363636363,440,110
Cin5,Msn2,Steady-state,LSTM,0.8,440,110
Cin5,Msn2,Steady-state,Transformer,0.8,440,110
Cin5,Msn2,Full,Raw SVM,0.7454545454545455,440,110
Cin5,Msn2,Full,LSTM,0.8545454545454545,440,110
Cin5,Msn2,Full,Transformer,0.8181818181818182,440,110
Cin5,Opi1,Steady-state,Raw SVM,0.5,440,110
Cin5,Opi1,Steady-state,LSTM,0.6818181818181818,440,110
Cin5,Opi1,Steady-state,Transformer,0.6181818181818182,440,110
Cin5,Opi1,Full,Raw SVM,0.5,440,110
Cin5,Opi1,Full,LSTM,0.5363636363636364,440,110
Cin5,Opi1,Full,Transformer,0.6909090909090909,440,110
Cin5,Rox1,Steady-state,Raw SVM,0.6090909090909091,440,110
Cin5,Rox1,Steady-state,LSTM,0.6636363636363637,440,110
Cin5,Rox1,Steady-state,Transformer,0.6727272727272727,440,110
Cin5,Rox1,Full,Raw SVM,0.6181818181818182,440,110
Cin5,Rox1,Full,LSTM,0.6636363636363637,440,110
Cin5,Rox1,Full,Transformer,0.6727272727272727,440,110
Cin5,Rsc3,Steady-state,Raw SVM,0.6363636363636364,440,110
Cin5,Rsc3,Steady-state,LSTM,0.6363636363636364,440,110
Cin5,Rsc3,Steady-state,Transformer,0.6545454545454545,440,110
Cin5,Rsc3,Full,Raw SVM,0.6090909090909091,440,110
Cin5,Rsc3,Full,LSTM,0.6545454545454545,440,110
Cin5,Rsc3,Full,Transformer,0.6545454545454545,440,110
Cin5,Sok2,Steady-state,Raw SVM,0.6,440,110
Cin5,Sok2,Steady-state,LSTM,0.6,440,110
Cin5,Sok2,Steady-state,Transformer,0.6545454545454545,440,110
Cin5,Sok2,Full,Raw SVM,0.6181818181818182,440,110
Cin5,Sok2,Full,LSTM,0.6454545454545455,440,110
Cin5,Sok2,Full,Transformer,0.7272727272727273,440,110
Cin5,Spt15,Steady-state,Raw SVM,0.6090909090909091,440,110
Cin5,Spt15,Steady-state,LSTM,0.6909090909090909,440,110
Cin5,Spt15,Steady-state,Transformer,0.5727272727272728,440,110
Cin5,Spt15,Full,Raw SVM,0.6545454545454545,440,110
Cin5,Spt15,Full,LSTM,0.6818181818181818,440,110
Cin5,Spt15,Full,Transformer,0.6,440,110
Cin5,Stb5,Steady-state,Raw SVM,0.6633663366336634,401,101
Cin5,Stb5,Steady-state,LSTM,0.7029702970297029,401,101
Cin5,Stb5,Steady-state,Transformer,0.7128712871287128,401,101
Cin5,Stb5,Full,Raw SVM,0.6633663366336634,401,101
Cin5,Stb5,Full,LSTM,0.6534653465346535,401,101
Cin5,Stb5,Full,Transformer,0.7227722772277227,401,101
Cin5,Tea1,Steady-state,Raw SVM,0.6909090909090909,440,110
Cin5,Tea1,Steady-state,LSTM,0.7090909090909091,440,110
Cin5,Tea1,Steady-state,Transformer,0.7272727272727273,440,110
Cin5,Tea1,Full,Raw SVM,0.6909090909090909,440,110
Cin5,Tea1,Full,LSTM,0.6818181818181818,440,110
Cin5,Tea1,Full,Transformer,0.7,440,110
Cin5,Yox1,Steady-state,Raw SVM,0.7818181818181819,440,110
Cin5,Yox1,Steady-state,LSTM,0.7727272727272727,440,110
Cin5,Yox1,Steady-state,Transformer,0.7454545454545455,440,110
Cin5,Yox1,Full,Raw SVM,0.7909090909090909,440,110
Cin5,Yox1,Full,LSTM,0.7909090909090909,440,110
Cin5,Yox1,Full,Transformer,0.7909090909090909,440,110
Cup9,Msn2,Steady-state,Raw SVM,0.65,400,100
Cup9,Msn2,Steady-state,LSTM,0.83,400,100
Cup9,Msn2,Steady-state,Transformer,0.87,400,100
Cup9,Msn2,Full,Raw SVM,0.71,400,100
Cup9,Msn2,Full,LSTM,0.86,400,100
Cup9,Msn2,Full,Transformer,0.87,400,100
Cup9,Opi1,Steady-state,Raw SVM,0.75,400,100
Cup9,Opi1,Steady-state,LSTM,0.84,400,100
Cup9,Opi1,Steady-state,Transformer,0.77,400,100
Cup9,Opi1,Full,Raw SVM,0.74,400,100
Cup9,Opi1,Full,LSTM,0.78,400,100
Cup9,Opi1,Full,Transformer,0.86,400,100
Cup9,Rox1,Steady-state,Raw SVM,0.62,400,100
Cup9,Rox1,Steady-state,LSTM,0.81,400,100
Cup9,Rox1,Steady-state,Transformer,0.73,400,100
Cup9,Rox1,Full,Raw SVM,0.63,400,100
Cup9,Rox1,Full,LSTM,0.83,400,100
Cup9,Rox1,Full,Transformer,0.79,400,100
Cup9,Rsc3,Steady-state,Raw SVM,0.69,400,100
Cup9,Rsc3,Steady-state,LSTM,0.77,400,100
Cup9,Rsc3,Steady-state,Transformer,0.78,400,100
Cup9,Rsc3,Full,Raw SVM,0.65,400,100
Cup9,Rsc3,Full,LSTM,0.77,400,100
Cup9,Rsc3,Full,Transformer,0.76,400,100
Cup9,Sok2,Steady-state,Raw SVM,0.7,400,100
Cup9,Sok2,Steady-state,LSTM,0.77,400,100
Cup9,Sok2,Steady-state,Transformer,0.8,400,100
Cup9,Sok2,Full,Raw SVM,0.73,400,100
Cup9,Sok2,Full,LSTM,0.8,400,100
Cup9,Sok2,Full,Transformer,0.89,400,100
Cup9,Spt15,Steady-state,Raw SVM,0.73,400,100
Cup9,Spt15,Steady-state,LSTM,0.77,400,100
Cup9,Spt15,Steady-state,Transformer,0.76,400,100
Cup9,Spt15,Full,Raw SVM,0.73,400,100
Cup9,Spt15,Full,LSTM,0.79,400,100
Cup9,Spt15,Full,Transformer,0.76,400,100
Cup9,Stb5,Steady-state,Raw SVM,0.75,400,100
Cup9,Stb5,Steady-state,LSTM,0.76,400,100
Cup9,Stb5,Steady-state,Transformer,0.8,400,100
Cup9,Stb5,Full,Raw SVM,0.72,400,100
Cup9,Stb5,Full,LSTM,0.8,400,100
Cup9,Stb5,Full,Transformer,0.79,400,100
Cup9,Tea1,Steady-state,Raw SVM,0.69,400,100
Cup9,Tea1,Steady-state,LSTM,0.85,400,100
Cup9,Tea1,Steady-state,Transformer,0.84,400,100
Cup9,Tea1,Full,Raw SVM,0.65,400,100
Cup9,Tea1,Full,LSTM,0.84,400,100
Cup9,Tea1,Full,Transformer,0.84,400,100
Cup9,Yox1,Steady-state,Raw SVM,0.71,400,100
Cup9,Yox1,Steady-state,LSTM,0.75,400,100
Cup9,Yox1,Steady-state,Transformer,0.75,400,100
Cup9,Yox1,Full,Raw SVM,0.71,400,100
Cup9,Yox1,Full,LSTM,0.75,400,100
Cup9,Yox1,Full,Transformer,0.74,400,100
Msn2,Opi1,Steady-state,Raw SVM,0.7474747474747475,792,198
Msn2,Opi1,Steady-state,LSTM,0.7929292929292929,792,198
Msn2,Opi1,Steady-state,Transformer,0.7222222222222222,792,198
Msn2,Opi1,Full,Raw SVM,0.7424242424242424,792,198
Msn2,Opi1,Full,LSTM,0.8080808080808081,792,198
Msn2,Opi1,Full,Transformer,0.7626262626262627,792,198
Msn2,Rox1,Steady-state,Raw SVM,0.8260869565217391,643,161
Msn2,Rox1,Steady-state,LSTM,0.8012422360248447,643,161
Msn2,Rox1,Steady-state,Transformer,0.8198757763975155,643,161
Msn2,Rox1,Full,Raw SVM,0.8136645962732919,643,161
Msn2,Rox1,Full,LSTM,0.8136645962732919,643,161
Msn2,Rox1,Full,Transformer,0.8136645962732919,643,161
Msn2,Rsc3,Steady-state,Raw SVM,0.8455882352941176,540,136
Msn2,Rsc3,Steady-state,LSTM,0.8235294117647058,540,136
Msn2,Rsc3,Steady-state,Transformer,0.8308823529411765,540,136
Msn2,Rsc3,Full,Raw SVM,0.8455882352941176,540,136
Msn2,Rsc3,Full,LSTM,0.8455882352941176,540,136
Msn2,Rsc3,Full,Transformer,0.8382352941176471,540,136
Msn2,Sok2,Steady-state,Raw SVM,0.7931034482758621,462,116
Msn2,Sok2,Steady-state,LSTM,0.8017241379310345,462,116
Msn2,Sok2,Steady-state,Transformer,0.8362068965517241,462,116
Msn2,Sok2,Full,Raw SVM,0.7931034482758621,462,116
Msn2,Sok2,Full,LSTM,0.8103448275862069,462,116
Msn2,Sok2,Full,Transformer,0.7758620689655172,462,116
Msn2,Spt15,Steady-state,Raw SVM,0.6456692913385826,507,127
Msn2,Spt15,Steady-state,LSTM,0.7007874015748031,507,127
Msn2,Spt15,Steady-state,Transformer,0.7165354330708661,507,127
Msn2,Spt15,Full,Raw SVM,0.6220472440944882,507,127
Msn2,Spt15,Full,LSTM,0.7086614173228346,507,127
Msn2,Spt15,Full,Transformer,0.7244094488188977,507,127
Msn2,Stb5,Steady-state,Raw SVM,0.7227722772277227,401,101
Msn2,Stb5,Steady-state,LSTM,0.7029702970297029,401,101
Msn2,Stb5,Steady-state,Transformer,0.693069306930693,401,101
Msn2,Stb5,Full,Raw SVM,0.7227722772277227,401,101
Msn2,Stb5,Full,LSTM,0.693069306930693,401,101
Msn2,Stb5,Full,Transformer,0.693069306930693,401,101
Msn2,Tea1,Steady-state,Raw SVM,0.905511811023622,505,127
Msn2,Tea1,Steady-state,LSTM,0.9291338582677166,505,127
Msn2,Tea1,Steady-state,Transformer,0.9212598425196851,505,127
Msn2,Tea1,Full,Raw SVM,0.8976377952755905,505,127
Msn2,Tea1,Full,LSTM,0.9291338582677166,505,127
Msn2,Tea1,Full,Transformer,0.9133858267716536,505,127
Msn2,Yox1,Steady-state,Raw SVM,0.6900584795321637,681,171
Msn2,Yox1,Steady-state,LSTM,0.8596491228070176,681,171
Msn2,Yox1,Steady-state,Transformer,0.8070175438596491,681,171
Msn2,Yox1,Full,Raw SVM,0.695906432748538,681,171
Msn2,Yox1,Full,LSTM,0.8888888888888888,681,171
Msn2,Yox1,Full,Transformer,0.8362573099415205,681,171
Opi1,Rox1,Steady-state,Raw SVM,0.6211180124223602,643,161
Opi1,Rox1,Steady-state,LSTM,0.6086956521739131,643,161
Opi1,Rox1,Steady-state,Transformer,0.6149068322981367,643,161
Opi1,Rox1,Full,Raw SVM,0.6459627329192547,643,161
Opi1,Rox1,Full,LSTM,0.6645962732919255,643,161
Opi1,Rox1,Full,Transformer,0.7204968944099379,643,161
Opi1,Rsc3,Steady-state,Raw SVM,0.6838235294117647,540,136
