cell_id,class_name,tf,group,experiment,source_key,label,x,y,representation,method
ch10_YOX1_001;0;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7274103671056578,2.0019983411721736,Raw SVM features,PCA
ch10_YOX1_001;10;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.8364351504521306,2.073423612532113,Raw SVM features,PCA
ch10_YOX1_001;11;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-2.0079292125222223,2.239000964426816,Raw SVM features,PCA
ch10_YOX1_001;15;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.5130574060200017,2.0288441322291084,Raw SVM features,PCA
ch10_YOX1_001;15;6,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-2.004267081590066,2.551628485290315,Raw SVM features,PCA
ch10_YOX1_001;20;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.552202594812855,2.1207007338996213,Raw SVM features,PCA
ch10_YOX1_001;21;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6702595983577022,2.234818091583955,Raw SVM features,PCA
ch10_YOX1_001;22;3,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7739181121754835,2.2624294224212944,Raw SVM features,PCA
ch10_YOX1_001;23;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9056577032315778,2.2051930778823436,Raw SVM features,PCA
ch10_YOX1_001;23;3,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.564380974674735,1.9097580213471435,Raw SVM features,PCA
ch10_YOX1_001;24;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.709242716276182,2.0238509436401335,Raw SVM features,PCA
ch10_YOX1_001;25;7,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6149784757947978,2.569247932114441,Raw SVM features,PCA
ch10_YOX1_001;27;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6769110523628405,2.059495353627757,Raw SVM features,PCA
ch10_YOX1_001;2;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.927221726613073,2.1271198646324603,Raw SVM features,PCA
ch10_YOX1_001;30;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.8856631905686327,2.1401497066127972,Raw SVM features,PCA
ch10_YOX1_001;31;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.838308739104375,2.205258037750556,Raw SVM features,PCA
ch10_YOX1_001;32;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6176472803119955,2.050305892423279,Raw SVM features,PCA
ch10_YOX1_001;33;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6998159564430617,2.279293323482241,Raw SVM features,PCA
ch10_YOX1_001;34;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7540269898665488,2.202447814021665,Raw SVM features,PCA
ch10_YOX1_001;35;7,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9335193312876968,2.568436978079824,Raw SVM features,PCA
ch10_YOX1_001;3;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6779049641258648,1.9020981757207625,Raw SVM features,PCA
ch10_YOX1_001;40;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7957684573894317,2.0674097673840617,Raw SVM features,PCA
ch10_YOX1_001;40;6,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9239468011024914,2.252819260353976,Raw SVM features,PCA
ch10_YOX1_001;41;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6975261527185,2.1260650535956156,Raw SVM features,PCA
ch10_YOX1_001;43;8,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.345779491650404,1.4244924572336808,Raw SVM features,PCA
ch10_YOX1_001;44;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9852843759172865,2.2567792404690894,Raw SVM features,PCA
ch10_YOX1_001;47;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.5400921411878514,1.905932921161746,Raw SVM features,PCA
ch10_YOX1_001;47;6,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-2.0058111134816525,2.510785770751118,Raw SVM features,PCA
ch10_YOX1_001;48;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6005249128128296,2.2401919767014014,Raw SVM features,PCA
ch10_YOX1_001;52;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9873850277440621,2.1974188991499757,Raw SVM features,PCA
ch10_YOX1_001;53;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.5269411828195036,1.8802126561767998,Raw SVM features,PCA
ch10_YOX1_001;53;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.8853181268703176,2.1764919408497563,Raw SVM features,PCA
ch10_YOX1_001;54;11,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.612831973860599,2.100345874915511,Raw SVM features,PCA
ch10_YOX1_001;56;2,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.6746670500235545,2.149516271116942,Raw SVM features,PCA
ch10_YOX1_001;56;6,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.9442078091103134,2.6171174561712616,Raw SVM features,PCA
ch10_YOX1_001;57;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.626155175645186,1.986753865683466,Raw SVM features,PCA
ch10_YOX1_001;59;15,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7730418516117883,2.2248715809875534,Raw SVM features,PCA
ch10_YOX1_001;60;1,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.5141016679662667,1.9346337827879074,Raw SVM features,PCA
ch10_YOX1_001;60;12,YOX1,YOX1,ch10_YOX1,2801,2801_group_ch10_YOX1,2,-1.7729099039641303,2.1177995951520376,Raw SVM features,PCA
