label,short_label,experiment,checkpoint,acc_top1,recall_at_k,status,error
IY017-inst b2048 D16 162432,IY017-inst b2048 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b2048_lr0.01_L2_H4_D16_20260220_162432_model.pth,0.7631103074141049,0.9132007233273056,ok,
IY024-batch b64 D16 122627,IY024-batch b64 D16,EXP-26-IY024,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D16_batch-wise_20260416_122627_model.pth,0.7613019891500904,0.9113924050632911,ok,
IY017-inst b64 D16 163742,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D16_20260215_163742_model.pth,0.759493670886076,0.9077757685352622,ok,
IY017-inst b4096 D16 140729,IY017-inst b4096 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260221_140729_model.pth,0.755877034358047,0.9150090415913201,ok,
IY022-global b64 D16 170229,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260303_170229_model.pth,0.7522603978300181,0.9258589511754068,ok,
IY022-batch b64 D16 082200,IY022-batch b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_batch-wise_20260311_082200_model.pth,0.7522603978300181,0.9240506329113924,ok,
IY022-batch b64 D16 082230,IY022-batch b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_batch-wise_20260311_082230_model.pth,0.7504520795660036,0.9204339963833634,ok,
IY017-inst b64 D16 100838,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D16_20260216_100838_model.pth,0.7504520795660036,0.9258589511754068,ok,
IY017-inst b512 D16 154043,IY017-inst b512 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b512_lr0.01_L2_H4_D16_20260219_154043_model.pth,0.7468354430379747,0.9330922242314648,ok,
IY017-inst b128 D16 151037,IY017-inst b128 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b128_lr0.01_L2_H4_D16_20260217_151037_model.pth,0.7468354430379747,0.9529837251356239,ok,
IY023-global b512 D16 170227,IY023-global b512 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b512_lr0.01_L2_H4_D16_global_20260315_170227_model.pth,0.7468354430379747,0.918625678119349,ok,
IY017-inst b32 D128 #09,IY017-inst b32 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b32_lr0.01_L2_H4_D128_model.pth,0.7450271247739603,0.9132007233273056,ok,
IY023-global b64 D16 130449,IY023-global b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b64_lr0.01_L2_H4_D16_global_20260315_130449_model.pth,0.7432188065099458,0.9005424954792043,ok,
IY024-batch b64 D8 203126,IY024-batch b64 D8,EXP-26-IY024,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D8_batch-wise_20260419_203126_model.pth,0.7414104882459313,0.9077757685352622,ok,
IY024-batch b64 D16 210002,IY024-batch b64 D16,EXP-26-IY024,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D16_batch-wise_20260419_210002_model.pth,0.7396021699819169,0.9222423146473779,ok,
