class_name,label,split,tf,condition,x,y,representation,method
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,2.387800156396719,2.0452812902331665,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-26.93751912971475,0.5719157231884954,Raw traces,PCA
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-9.942668009807493,1.4838510381049825,Raw traces,PCA
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-19.629462641310038,-1.580103182333629,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-23.955484348484717,2.757427866901043,Raw traces,PCA
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),17.733068234390725,-0.7117559754405156,Raw traces,PCA
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-11.048511798824718,4.092025265200611,Raw traces,PCA
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,28.09027137183388,-1.1747685722703605,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-24.175212294468405,-1.793517936393105,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-19.991102874606298,-1.0411014795797913,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,5.205233913871422,-3.7370799023721584,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,11.091197127658132,-3.3942130707336498,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,3.338241190256788,-2.50027786531256,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-28.049465952045058,-1.2890693438405392,Raw traces,PCA
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),30.70236014231236,-4.268481228971107,Raw traces,PCA
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,48.51817755116488,2.675014142764992,Raw traces,PCA
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-11.540256433095355,2.016919454906646,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-25.4409786349792,-1.891070533941432,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-21.97708696594252,0.5503595998465967,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-27.28495759347839,0.36708527714379463,Raw traces,PCA
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),9.073856203971669,-0.8587954232977137,Raw traces,PCA
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,14.943653204208251,-7.850963326121358,Raw traces,PCA
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,40.41757173030301,0.18643143671606704,Raw traces,PCA
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,25.38708520829782,0.926826937923967,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-24.325618577104095,-0.39682955909795065,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,15.605341051167578,-13.376777953114177,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-30.892259803218195,-2.6684489560428717,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,8.57477091254851,1.7102857873932453,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-19.547623819945535,-0.5224571364727293,Raw traces,PCA
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),19.903709197899985,-1.1069652155306238,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-22.365792713469776,-1.2391655457665869,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-24.28702849580989,-2.437619193935463,Raw traces,PCA
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-18.908330570011817,-2.2866739081485847,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-23.837953055750926,0.7047823760962916,Raw traces,PCA
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-2.0343788043467317,-2.47664150219499,Raw traces,PCA
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,-28.331495038693674,-1.422596111863288,Raw traces,PCA
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),8.002589960058753,0.4524874189700351,Raw traces,PCA
