Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 10.141908396946565, 'Stressed Variance': 119.34024368626538, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 10.054772727272727, 'Normal Variance': 1182.6431363119834, 'Normal Steady State Time': 12.775248871259613})",0.1,1.0,0.6625,1.0,0.675,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6173141934293784, 'rho': 220.11767828854673, 'd': 0.7298677221963532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999819706, 'rho': 1179.13381379274, 'd': 0.7827636158616783, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812479934}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259613})",0.1,0.9875,0.775,1.0,0.775,0.8875,0.45
