label,time_0.0,time_1.0,time_2.0,time_3.0,time_4.0,time_5.0,time_6.0,time_7.0,time_8.0,time_9.0,time_10.0,time_11.0,time_12.0,time_13.0,time_14.0,time_15.0,time_16.0,time_17.0,time_18.0,time_19.0,time_20.0,time_21.0,time_22.0,time_23.0,time_24.0,time_25.0,time_26.0,time_27.0,time_28.0,time_29.0,time_30.0,time_31.0,time_32.0,time_33.0,time_34.0,time_35.0,time_36.0,time_37.0,time_38.0,time_39.0,time_40.0,time_41.0,time_42.0,time_43.0,time_44.0,time_45.0,time_46.0,time_47.0,time_48.0,time_49.0,time_50.0,time_51.0,time_52.0,time_53.0,time_54.0,time_55.0,time_56.0,time_57.0,time_58.0,time_59.0,time_60.0,time_61.0,time_62.0,time_63.0,time_64.0,time_65.0,time_66.0,time_67.0,time_68.0,time_69.0,time_70.0,time_71.0,time_72.0,time_73.0,time_74.0,time_75.0,time_76.0,time_77.0,time_78.0,time_79.0,time_80.0,time_81.0,time_82.0,time_83.0,time_84.0,time_85.0,time_86.0,time_87.0,time_88.0,time_89.0,time_90.0,time_91.0,time_92.0,time_93.0,time_94.0,time_95.0,time_96.0,time_97.0,time_98.0,time_99.0,time_100.0,time_101.0,time_102.0,time_103.0,time_104.0,time_105.0,time_106.0,time_107.0,time_108.0,time_109.0,time_110.0,time_111.0,time_112.0,time_113.0,time_114.0,time_115.0,time_116.0,time_117.0,time_118.0,time_119.0,time_120.0,time_121.0,time_122.0,time_123.0,time_124.0,time_125.0,time_126.0,time_127.0,time_128.0,time_129.0,time_130.0,time_131.0,time_132.0,time_133.0,time_134.0,time_135.0,time_136.0,time_137.0,time_138.0,time_139.0,time_140.0,time_141.0,time_142.0,time_143.0
0,2,74,70,68,61,53,49,44,38,34,34,28,26,24,21,14,9,11,10,11,10,7,7,6,5,7,4,4,6,2,2,2,2,1,0,2,0,0,1,2,0,3,0,0,2,2,2,2,1,0,2,-2,-3,0,0,0,-2,1,1,0,0,0,3,1,-2,-1,0,0,2,0,4,0,0,-1,-1,1,2,-2,0,1,0,0,-1,-1,2,-2,-1,0,0,2,-2,-1,-1,0,-1,1,0,1,3,0,0,-1,0,2,1,2,-1,0,5,1,0,1,-1,0,-1,-2,0,-2,4,0,-3,-1,0,0,-2,0,0,0,0,0,0,0,1,-1,1,1,2,1,0,0,0,-2,-2,0
0,2,112,183,164,146,132,119,105,90,80,72,62,58,49,42,38,35,31,30,22,19,15,14,13,13,13,12,10,8,3,9,7,6,7,6,2,4,5,5,5,6,4,4,2,2,1,4,2,2,2,0,0,3,1,0,-2,-1,-1,2,0,0,-1,-2,-5,2,1,0,0,0,-1,0,0,1,0,-4,0,1,-1,0,2,-1,0,2,0,0,0,0,-1,-1,-2,2,1,0,1,0,-2,-3,-1,1,1,2,0,1,-1,2,0,1,0,0,0,1,-2,-1,-2,-1,-1,-1,-1,-1,0,0,-3,0,-1,-1,0,0,-1,0,0,0,0,-1,0,1,1,2,-1,0,-3,0,0,-1,0
0,-1,52,48,44,37,31,34,26,21,22,17,16,17,15,13,12,16,12,8,7,10,7,4,4,6,7,4,3,4,3,2,2,1,2,-1,-1,0,-2,3,0,0,0,2,-1,-3,4,2,-2,-1,0,2,1,1,-1,-1,0,0,1,1,0,0,-4,0,-1,-1,1,-1,2,2,0,0,-3,-1,-2,-5,0,0,0,1,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,-1,-2,-2,0,2,-1,0,0,3,0,0,0,2,3,0,1,0,3,0,-1,0,0,0,1,0,0,0,-2,1,0,-4,-1,0,0,-1,0,1,1,-1,-1,-2,2,0,0,1,1
0,0,380,342,300,268,251,220,197,166,152,142,127,107,99,87,77,68,61,56,51,44,41,35,31,29,24,17,15,17,14,14,15,11,9,5,4,6,1,5,5,4,5,2,5,7,4,6,2,3,4,2,1,2,2,1,3,1,1,-3,0,1,0,1,0,1,137,123,113,99,90,80,70,62,56,55,53,46,42,36,27,32,30,24,25,21,22,19,19,17,15,13,10,11,7,7,7,5,5,43,35,32,29,26,23,22,20,19,17,15,13,12,12,9,10,9,9,2,4,7,2,0,6,2,0,3,1,4,0,1,3,1,1,1,2,1,1,4,0,1,0,-1,3,1,4
0,0,76,67,64,55,52,45,42,37,30,29,26,23,20,18,16,21,15,15,14,13,15,13,8,10,9,10,7,1,3,3,4,1,4,1,2,3,0,1,0,3,0,1,1,2,3,3,-1,2,2,1,0,0,0,-5,-3,-1,0,0,0,-1,0,2,-2,0,1,-2,-1,2,2,1,1,0,-1,1,2,0,1,0,-1,-2,-2,1,0,1,0,0,0,-3,-4,0,-1,0,-1,1,-1,2,2,0,0,0,-3,0,1,2,0,0,0,0,-1,1,0,-2,1,-1,3,-1,2,-4,0,0,-3,0,-3,-2,1,1,0,-2,0,-1,-4,-1,1,0,0,0,0,-3,-2,0,3,0,0
0,1,6,8,4,5,4,6,4,7,1,2,6,-1,2,2,2,2,3,2,-2,0,1,2,0,0,6,0,1,-2,0,-2,-4,1,0,0,0,0,-2,0,0,-1,0,0,-1,2,2,0,1,0,-1,0,2,0,0,1,3,1,2,1,0,0,0,-3,-4,-2,1,0,0,-1,0,0,0,-1,0,-2,-1,-1,0,0,1,-1,1,1,0,-1,0,0,31,24,21,19,14,13,9,13,6,8,6,7,4,5,5,4,5,6,1,3,5,4,4,4,3,1,1,4,0,2,1,0,-1,4,0,4,-1,0,0,2,0,0,0,1,-3,-1,1,0,-2,-3,1,0,-1,0,2,2,0
0,1,243,221,197,176,153,129,118,110,99,86,74,66,56,49,42,38,35,34,33,29,23,18,18,15,15,14,12,8,6,4,6,2,1,3,0,4,1,0,0,1,-2,1,2,1,2,2,1,-1,2,3,1,2,-1,-2,5,1,-1,-3,0,0,0,0,0,1,-2,-2,2,-4,0,2,-1,1,1,-1,0,1,1,-1,-3,3,-1,0,0,1,0,2,-5,0,1,2,0,-2,1,0,1,4,0,-2,-1,0,-3,0,0,-3,0,-1,-1,0,0,0,0,0,-3,1,1,-1,-2,0,-1,0,-3,2,-1,0,0,1,3,-1,0,-3,1,0,-2,1,-2,0,2,0,1,-3,-1,0,-3
0,2,140,128,119,104,93,81,74,68,60,45,38,34,31,29,30,28,24,21,19,16,11,14,14,13,12,12,9,9,9,9,8,4,8,4,4,5,2,3,3,1,1,3,2,3,4,0,2,5,1,3,1,2,2,211,187,436,383,343,312,276,251,226,206,186,167,146,129,115,92,86,76,71,64,59,53,47,40,36,36,32,28,27,20,16,19,18,15,16,12,7,9,7,8,8,3,2,6,4,5,1,1,1,1,85,74,67,67,61,51,51,46,43,43,37,27,24,25,19,18,19,15,12,10,10,7,4,5,3,5,5,2,1,3,0,0,-4,-2,1,-2,1,1,0,0
0,0,165,142,132,121,110,102,90,81,70,66,60,52,41,31,31,27,26,20,21,17,12,17,16,12,10,9,10,8,6,160,138,131,118,97,84,83,75,68,66,63,60,57,49,45,40,41,33,30,27,20,16,17,14,13,9,9,6,5,6,6,4,1,2,2,2,1,2,3,3,2,4,4,-3,2,0,0,0,2,1,-1,3,-1,0,0,0,0,-1,0,2,2,4,-2,1,-1,0,-2,2,-2,0,0,-4,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-3,-1,2,1,1,0,-4,2,0,-1,0,0,4,3,3,3,3,-1,2,131,111,99,90,78,70,59,52,44
0,0,301,273,244,214,196,170,150,134,125,114,97,85,79,74,63,61,52,47,41,37,35,30,20,23,18,18,16,15,15,12,9,11,9,6,8,6,6,5,4,6,1,3,-1,2,1,0,1,-1,-1,0,1,1,2,-1,1,-1,-1,0,0,0,1,3,0,0,2,-2,1,-1,5,56,51,45,38,33,30,27,28,27,27,21,17,18,16,14,13,12,16,10,10,9,9,8,8,6,6,7,6,5,3,3,2,3,3,3,2,4,0,4,2,4,3,2,0,1,2,0,-1,1,0,0,0,1,0,0,2,-1,-1,0,-2,-1,-1,0,0,0,0,0,0,4,-2,0,0,-1,-1
