Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D 4-Head Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 9.515151515151516, 'Stressed Variance': 3142.0074219467406, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 10.598308270676691, 'Normal Variance': 1367.0730422508339, 'Normal Steady State Time': 12.775248871258652})",2.86,0.7625,0.6,0.6875,0.525,0.625,0.45,0.875,0.65
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
"[{'sigma_u': 18.0, 'sigma_b': 0.020603925441389413, 'rho': 6425.394353115255, 'd': 0.734649885934854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.060145439998484096, 'rho': 1179.133813799024, 'd': 0.7827636158617373, 'label': 1}]","({'Stressed Mean': 11.211818181818181, 'Stressed Variance': 3746.3811936639117, 'Stressed Steady State Time': 13.611926158914237}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258652})",2.86,0.675,0.55,0.7125,0.55,0.65,0.45,0.9,0.6875
