label,time_0.0,time_1.0,time_2.0,time_3.0,time_4.0,time_5.0,time_6.0,time_7.0,time_8.0,time_9.0,time_10.0,time_11.0,time_12.0,time_13.0,time_14.0,time_15.0,time_16.0,time_17.0,time_18.0,time_19.0,time_20.0,time_21.0,time_22.0,time_23.0,time_24.0,time_25.0,time_26.0,time_27.0,time_28.0,time_29.0,time_30.0,time_31.0,time_32.0,time_33.0,time_34.0,time_35.0,time_36.0,time_37.0,time_38.0,time_39.0,time_40.0,time_41.0,time_42.0,time_43.0,time_44.0,time_45.0,time_46.0,time_47.0,time_48.0,time_49.0,time_50.0,time_51.0,time_52.0,time_53.0,time_54.0,time_55.0,time_56.0,time_57.0,time_58.0,time_59.0,time_60.0,time_61.0,time_62.0,time_63.0,time_64.0,time_65.0,time_66.0,time_67.0,time_68.0,time_69.0,time_70.0,time_71.0,time_72.0,time_73.0,time_74.0,time_75.0,time_76.0,time_77.0,time_78.0,time_79.0,time_80.0,time_81.0,time_82.0,time_83.0,time_84.0,time_85.0,time_86.0,time_87.0,time_88.0,time_89.0,time_90.0,time_91.0,time_92.0,time_93.0,time_94.0,time_95.0,time_96.0,time_97.0,time_98.0,time_99.0,time_100.0,time_101.0,time_102.0,time_103.0,time_104.0,time_105.0,time_106.0,time_107.0,time_108.0,time_109.0,time_110.0,time_111.0,time_112.0,time_113.0,time_114.0,time_115.0,time_116.0,time_117.0,time_118.0,time_119.0,time_120.0,time_121.0,time_122.0,time_123.0,time_124.0,time_125.0,time_126.0,time_127.0,time_128.0,time_129.0,time_130.0,time_131.0,time_132.0,time_133.0,time_134.0,time_135.0,time_136.0,time_137.0,time_138.0,time_139.0,time_140.0,time_141.0,time_142.0,time_143.0,time_144.0,time_145.0,time_146.0,time_147.0,time_148.0,time_149.0,time_150.0,time_151.0,time_152.0,time_153.0
0,0,16,7,4,1,1,20,5,13,14,6,0,1,7,3,15,5,2,1,0,9,60,20,8,3,6,28,9,8,2,4,17,8,28,7,6,2,7,46,12,2,11,31,13,6,1,0,26,18,15,6,11,4,3,16,16,19,13,12,3,13,14,33,11,6,7,4,15,11,41,12,1,0,0,11,4,3,15,9,2,11,7,7,1,10,10,1,1,29,31,14,6,0,4,20,23,6,1,1,0,0,9,4,48,27,12,7,53,19,6,30,13,16,7,2,21,17,24,11,6,8,45,31,14,22,21,8,20,13,16,9,28,8,2,1,0,0,0,0,19,5,22,7,15,10,1,0,0,0,0,30,14,8,4
0,0,9,4,2,0,10,26,11,6,2,0,0,7,15,14,8,8,3,22,6,6,27,18,8,16,14,9,5,2,0,0,7,2,2,1,1,1,1,8,2,0,3,2,0,27,9,9,5,1,1,0,0,1,21,12,3,2,2,0,0,6,28,10,2,27,29,24,18,3,22,7,1,0,12,3,29,26,12,16,6,12,3,0,3,14,30,20,25,18,2,6,3,1,0,8,16,4,5,5,3,2,0,23,8,5,4,3,13,13,23,7,19,6,19,5,14,4,1,0,10,7,3,3,1,14,7,10,12,10,3,17,5,28,20,4,6,11,10,3,0,20,28,20,7,12,40,16,11,18,21,5,4,14,2
0,0,6,4,0,0,18,8,4,1,16,11,3,0,0,3,2,12,23,19,7,32,10,5,54,25,15,6,5,1,0,1,109,81,40,11,7,3,12,3,3,11,5,2,5,3,2,2,2,0,4,22,6,2,1,13,23,7,2,8,4,2,0,0,0,41,26,24,21,7,0,23,19,15,6,3,2,7,30,20,13,4,7,2,5,1,0,52,24,31,14,3,6,9,10,5,20,20,6,14,5,1,1,3,4,15,23,16,9,2,5,3,16,6,52,20,32,13,49,62,19,6,3,1,15,7,31,10,4,3,11,5,22,15,27,7,2,1,1,1,0,3,2,2,1,0,4,1,0,0,0,22,5,0,0
0,0,12,8,10,2,16,13,17,15,4,1,18,5,5,9,1,46,25,16,6,15,32,15,13,31,11,3,11,4,9,1,1,1,31,12,31,9,3,11,3,1,9,21,30,54,20,9,24,6,6,4,2,0,14,5,12,5,6,4,3,1,3,0,13,12,6,25,12,12,33,22,10,2,1,9,36,15,7,14,5,0,25,9,3,4,1,17,9,3,25,8,21,11,12,12,27,17,12,6,5,2,1,15,5,14,4,2,2,3,15,10,6,4,15,7,10,5,2,0,14,6,3,3,7,1,0,2,2,2,2,27,11,10,3,0,0,0,0,0,0,0,10,3,17,14,18,4,2,4,7,9,6,16,8
0,0,12,4,3,21,25,8,6,1,9,8,3,2,0,0,50,25,9,5,21,8,29,14,6,3,0,6,4,36,24,16,8,4,70,23,23,38,18,13,4,2,43,27,28,19,5,6,12,7,14,48,23,14,6,5,3,1,15,27,22,10,2,10,3,12,42,42,19,7,4,3,6,5,1,1,1,27,15,15,23,10,15,9,2,6,3,34,11,3,1,0,62,26,4,6,2,0,0,0,1,6,14,8,4,4,0,9,23,17,7,3,0,15,25,7,30,14,33,14,21,20,8,3,21,7,4,1,2,10,2,2,1,8,5,14,5,4,3,7,12,6,6,6,16,35,14,5,4,15,5,1,6,8,3
0,0,1,13,6,2,0,0,2,1,1,0,1,0,1,0,0,10,35,19,14,4,38,40,14,7,3,1,2,0,2,0,0,13,8,1,0,2,29,41,20,22,5,2,12,11,2,14,2,75,50,21,9,48,19,13,2,45,15,8,9,6,2,0,35,25,23,17,9,4,31,11,7,15,8,4,4,2,18,6,0,0,7,3,2,2,44,16,9,18,12,28,10,2,1,3,1,0,13,7,5,20,41,20,10,3,7,3,0,0,12,6,9,6,20,8,19,26,20,9,5,10,16,12,12,4,8,9,4,6,16,14,6,10,15,7,22,10,5,4,23,33,21,11,12,3,2,54,20,5,1,7,23,6,3
0,0,13,21,14,4,2,1,7,3,0,0,26,38,18,9,8,6,3,4,1,8,36,18,3,2,1,6,2,1,2,24,11,4,17,36,15,56,27,10,12,12,9,13,4,3,2,1,12,31,13,43,15,5,8,1,22,27,24,7,8,24,9,10,9,15,27,14,6,4,48,33,39,41,25,10,3,24,18,21,8,4,5,0,0,19,17,3,4,10,1,0,8,2,5,1,2,0,16,24,11,2,0,6,26,7,15,8,8,4,10,6,1,10,8,3,15,16,36,17,8,11,55,33,16,21,26,9,7,13,5,2,8,4,14,9,34,25,12,5,3,10,10,11,7,3,3,1,0,0,4,1,2,0,0
0,0,20,14,9,24,10,6,3,1,15,5,2,3,2,1,1,1,0,0,23,5,3,1,13,5,1,0,8,1,11,3,3,13,5,3,1,7,2,2,1,48,18,7,6,11,7,2,4,17,3,1,0,17,5,2,0,31,27,12,4,2,12,6,3,0,5,2,21,14,6,12,13,5,27,21,20,9,6,12,15,10,3,2,2,29,62,31,35,23,59,32,32,17,5,0,0,0,0,7,3,18,7,0,0,0,15,13,3,1,16,27,9,0,17,29,13,3,19,25,13,21,9,6,2,13,11,21,5,5,7,24,7,22,5,3,0,0,8,3,17,19,27,55,23,6,1,15,14,8,3,9,3,1,0
0,0,4,2,17,8,19,26,11,5,12,2,6,1,3,14,18,23,9,3,4,30,22,14,7,6,24,21,6,2,0,0,9,15,26,13,5,2,1,0,0,12,7,6,12,8,4,37,42,11,7,0,3,22,27,12,4,0,18,6,2,3,20,9,3,4,11,2,1,13,6,1,0,3,1,0,2,2,14,12,4,1,5,16,11,4,15,35,36,29,12,16,8,48,18,13,5,6,14,16,17,17,12,17,7,3,5,3,3,7,5,2,1,14,3,32,12,8,6,2,1,0,0,2,1,23,6,3,26,29,13,5,3,2,1,17,12,3,0,0,3,3,17,11,7,1,0,1,7,3,1,0,5,1,1
0,0,5,14,3,17,33,32,14,11,6,2,2,0,0,0,46,27,12,16,3,2,1,0,0,0,44,16,49,42,23,10,5,4,10,4,4,3,8,2,1,3,0,23,26,16,10,12,5,9,5,39,17,7,3,1,13,5,14,3,1,4,2,34,19,8,1,0,0,0,0,0,25,33,34,11,5,12,3,32,22,9,1,1,1,0,15,6,17,5,30,26,22,14,8,3,1,0,8,1,0,0,24,6,2,3,1,6,2,8,12,6,4,13,4,1,7,20,23,10,5,5,18,7,3,11,17,16,12,12,11,11,38,22,8,2,0,4,41,19,9,6,17,4,18,8,20,19,12,6,9,7,15,7,6
0,0,9,1,0,0,0,19,21,3,2,12,3,1,25,22,7,17,12,10,11,10,7,1,1,0,0,0,21,10,18,12,7,32,24,9,1,8,12,27,18,10,3,0,24,55,35,25,17,14,34,11,12,4,4,14,30,43,35,13,8,5,1,1,0,51,13,34,11,5,2,6,4,2,2,1,2,1,28,19,14,16,8,2,0,18,9,22,24,6,1,0,0,6,0,0,0,0,0,6,14,4,20,10,8,28,30,13,18,9,19,6,2,1,27,14,13,5,2,64,29,11,4,0,16,9,3,23,18,5,12,6,2,23,10,8,1,4,2,16,21,11,23,48,18,7,1,9,2,5,3,11,7,2,1
0,0,23,7,5,10,14,16,4,5,5,2,1,0,3,9,2,20,7,5,1,6,2,7,1,1,3,1,2,1,17,35,33,15,21,9,6,1,1,23,21,5,16,9,2,0,0,1,18,7,11,6,25,17,5,0,1,8,3,6,2,0,0,7,5,3,11,4,19,19,11,45,41,41,13,5,5,4,10,13,8,58,24,15,40,21,12,6,3,23,8,36,20,8,22,10,20,8,4,6,17,3,10,22,7,1,0,0,2,6,3,9,6,2,1,7,18,19,17,7,2,0,0,15,30,22,9,4,42,20,8,2,2,5,3,2,34,17,8,2,2,20,7,9,34,18,13,27,20,9,3,2,14,8,24
0,0,2,0,0,0,0,8,5,1,16,38,12,41,19,5,7,28,11,4,2,18,10,31,16,29,12,0,4,7,42,14,7,17,22,14,10,6,2,0,10,4,2,36,12,4,2,4,13,11,6,4,3,73,19,5,5,2,25,19,5,2,2,40,21,10,30,9,4,14,12,4,2,22,11,5,5,1,0,0,0,0,6,3,2,1,10,4,6,25,11,35,67,24,6,1,0,0,24,11,5,4,36,16,3,16,8,8,7,4,1,1,4,2,1,1,0,8,5,5,1,13,22,22,6,8,3,15,36,13,6,1,5,3,0,3,1,22,6,2,1,35,23,12,5,1,0,4,1,2,1,0,2,1,1
0,0,4,4,10,23,15,26,13,4,32,18,16,10,6,6,9,3,4,7,2,1,0,0,0,0,35,26,10,6,5,2,31,11,1,0,1,0,39,22,6,2,27,19,6,2,3,0,2,1,14,9,4,9,3,0,10,1,6,21,6,0,0,5,2,30,11,7,1,0,1,14,63,38,28,13,11,4,15,4,0,3,1,18,15,6,4,1,0,0,0,0,0,11,6,2,23,10,4,1,1,0,0,0,25,5,5,9,3,12,13,12,8,2,0,30,6,4,37,14,5,3,12,58,21,27,40,35,25,39,18,9,3,1,6,4,15,8,46,17,10,4,1,8,11,2,0,19,8,54,29,8,8,4,2
0,0,5,1,1,1,1,0,0,40,14,9,2,7,3,2,1,24,9,2,2,0,4,2,14,8,4,11,10,4,1,1,31,14,9,14,17,8,9,5,7,15,4,4,1,1,33,7,3,3,23,7,18,15,4,49,18,18,30,15,7,2,1,3,1,10,8,8,3,6,11,0,0,17,8,3,0,5,3,0,8,10,2,1,0,0,14,51,31,10,2,1,17,8,22,13,8,13,6,67,24,11,15,9,19,6,4,21,5,6,11,4,13,2,17,5,2,0,0,0,0,2,0,0,0,7,14,34,13,23,29,15,24,20,18,18,40,17,6,3,1,8,3,9,5,9,3,1,1,2,11,8,3,10,3
0,0,16,10,3,0,1,16,53,29,14,3,4,26,9,4,1,9,6,7,17,12,6,25,24,13,14,37,32,26,11,24,14,23,51,20,7,5,7,18,22,7,3,1,1,0,15,6,1,31,17,8,5,1,1,44,17,8,7,3,0,3,0,4,4,8,15,3,1,16,10,4,3,3,3,13,15,7,25,40,12,29,26,26,10,3,14,10,4,9,8,12,8,2,0,22,45,18,18,9,4,1,16,3,20,6,3,8,23,10,3,1,1,0,14,38,16,5,1,23,5,5,9,7,35,9,27,23,12,7,16,7,4,2,8,6,9,2,0,29,9,5,24,10,5,1,18,18,9,23,7,3,8,10,3
0,0,6,10,1,1,0,6,7,14,5,3,16,6,3,15,8,1,13,42,12,5,1,1,0,10,4,25,14,12,8,5,30,7,1,4,5,2,3,10,2,1,0,0,0,1,1,0,0,0,0,0,0,0,6,3,5,2,4,2,1,4,16,50,20,38,48,35,27,10,22,13,3,5,4,33,11,2,10,5,15,10,1,7,1,15,6,7,25,2,0,0,0,11,4,2,7,11,9,2,9,4,11,6,10,2,29,20,11,6,6,1,0,0,0,0,0,1,0,8,7,2,0,1,22,7,7,8,5,1,1,1,0,12,5,19,59,25,8,1,25,9,4,2,45,19,13,8,3,8,2,1,16,18,7
0,0,7,3,21,8,18,8,6,14,5,6,1,0,1,0,0,2,44,22,12,7,2,8,10,5,1,14,43,19,5,1,0,6,3,0,8,9,2,24,8,4,0,9,24,10,5,23,30,15,4,4,5,0,11,12,21,8,9,1,1,0,0,4,18,17,12,19,25,6,2,6,2,7,3,18,6,8,24,9,6,4,2,1,1,10,23,8,4,8,26,8,3,2,1,1,13,5,31,14,6,4,8,2,0,0,0,18,51,21,2,10,7,4,8,3,1,0,0,0,3,1,0,0,0,0,8,1,0,0,27,10,19,6,17,13,35,17,35,28,8,11,3,7,2,40,15,4,2,9,6,20,22,10,3
0,0,9,3,1,30,13,11,4,45,37,28,35,15,5,1,0,4,1,0,0,0,6,33,14,8,19,33,24,6,2,1,12,8,2,18,3,2,6,13,5,1,23,32,28,13,21,7,7,5,9,2,6,21,12,5,7,1,17,4,3,7,4,17,7,4,40,45,25,7,1,1,1,16,8,4,4,4,22,7,2,8,6,10,32,18,21,8,3,1,0,0,0,13,15,4,2,0,0,25,32,8,16,27,39,22,26,9,13,31,14,7,14,6,15,21,11,14,2,5,19,25,9,14,3,1,3,20,7,2,4,18,6,13,26,8,19,10,3,1,1,1,0,0,0,25,11,10,14,14,5,2,4,2,6
0,0,4,3,1,1,1,13,10,27,10,7,4,11,19,6,1,0,0,4,2,0,0,0,4,3,1,1,7,2,1,1,19,9,3,1,0,0,4,23,7,2,38,23,12,7,5,16,10,1,23,15,11,4,13,4,6,48,19,8,0,0,0,5,2,1,0,0,0,0,0,7,2,2,3,21,8,5,7,8,9,14,3,0,21,4,1,1,0,0,0,0,10,3,0,0,0,1,3,7,4,7,7,3,2,44,14,5,29,7,35,16,13,5,9,4,8,21,40,30,7,3,10,8,12,17,4,9,16,14,22,12,17,7,6,12,4,1,1,11,3,3,19,28,42,17,5,34,11,10,6,6,7,20,32
